position,title,result_id,link,snippet,publication_info_summary,publication_info_authors_0_name,publication_info_authors_0_link,publication_info_authors_0_serpapi_scholar_link,publication_info_authors_0_author_id,publication_info_authors_1_name,publication_info_authors_1_link,publication_info_authors_1_serpapi_scholar_link,publication_info_authors_1_author_id,publication_info_authors_2_name,publication_info_authors_2_link,publication_info_authors_2_serpapi_scholar_link,publication_info_authors_2_author_id,publication_info_authors_3_name,publication_info_authors_3_link,publication_info_authors_3_serpapi_scholar_link,publication_info_authors_3_author_id,resources_0_title,resources_0_file_format,resources_0_link,inline_links_serpapi_cite_link,inline_links_cited_by_total,inline_links_cited_by_link,inline_links_cited_by_cites_id,inline_links_cited_by_serpapi_scholar_link,inline_links_related_pages_link,inline_links_serpapi_related_pages_link,inline_links_versions_total,inline_links_versions_link,inline_links_versions_cluster_id,inline_links_versions_serpapi_scholar_link,inline_links_cached_page_link,publication_info_authors_4_name,publication_info_authors_4_link,publication_info_authors_4_serpapi_scholar_link,publication_info_authors_4_author_id,type,inline_links_html_version
0,Reinforcement learning via AIXI approximation,E43KFfGjZ64J,https://ojs.aaai.org/index.php/AAAI/article/view/7667,"… general reinforcement learning agent. This approach is based on a direct approximation of AIXI, a … Previously, it has been unclear whether the theory of AIXI could motivate the design of …","J Veness, KS Ng, M Hutter, D Silver - Proceedings of the AAAI …, 2010 - ojs.aaai.org",J Veness,https://scholar.google.com/citations?user=_iYrAxEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_iYrAxEAAAAJ&engine=google_scholar_author&hl=en,_iYrAxEAAAAJ,KS Ng,https://scholar.google.com/citations?user=4bL3ThUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4bL3ThUAAAAJ&engine=google_scholar_author&hl=en,4bL3ThUAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,D Silver,https://scholar.google.com/citations?user=-8DNE4UAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-8DNE4UAAAAJ&engine=google_scholar_author&hl=en,-8DNE4UAAAAJ,aaai.org,PDF,https://ojs.aaai.org/index.php/AAAI/article/view/7667/7528,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=E43KFfGjZ64J,32.0,"https://scholar.google.com/scholar?cites=12567193541048700179&as_sdt=5,38&sciodt=0,38&hl=en&num=20",12567193541048700179,https://serpapi.com/search.json?as_sdt=5%2C38&cites=12567193541048700179&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:E43KFfGjZ64J:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AE43KFfGjZ64J%3Ascholar.google.com%2F&start=0,22.0,"https://scholar.google.com/scholar?cluster=12567193541048700179&hl=en&num=20&as_sdt=0,38",12567193541048700179,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=12567193541048700179&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:E43KFfGjZ64J:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
1,Dynamic Knowledge Injection for AIXI Agents,rZ89RFh1-EkJ,https://ojs.aaai.org/index.php/AAAI/article/view/29575,"… of AIXI, a Bayesian optimality notion for general reinforcement learning, can only approximate AIXI… The DynamicHedgeAIXI agent is the richest direct approximation of AIXI known to date …","S Yang-Zhao, KS Ng, M Hutter - … of the AAAI Conference on Artificial …, 2024 - ojs.aaai.org",S Yang-Zhao,https://scholar.google.com/citations?user=FwtCLh0AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=FwtCLh0AAAAJ&engine=google_scholar_author&hl=en,FwtCLh0AAAAJ,KS Ng,https://scholar.google.com/citations?user=4bL3ThUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4bL3ThUAAAAJ&engine=google_scholar_author&hl=en,4bL3ThUAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,,,,,aaai.org,PDF,https://ojs.aaai.org/index.php/AAAI/article/view/29575/30966,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=rZ89RFh1-EkJ,1.0,"https://scholar.google.com/scholar?cites=5330139180955443117&as_sdt=5,38&sciodt=0,38&hl=en&num=20",5330139180955443117,https://serpapi.com/search.json?as_sdt=5%2C38&cites=5330139180955443117&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:rZ89RFh1-EkJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3ArZ89RFh1-EkJ%3Ascholar.google.com%2F&start=0,2.0,"https://scholar.google.com/scholar?cluster=5330139180955443117&hl=en&num=20&as_sdt=0,38",5330139180955443117,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=5330139180955443117&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:rZ89RFh1-EkJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
2,AIXIjs: A software demo for general reinforcement learning,sxf05s7RjbwJ,https://arxiv.org/abs/1705.07615,"… is the famous AIXI model, which is … AIXI is formulated as a Bayesian reinforcement learner, and makes few assumptions about the nature of its environment; notably, when studying AIXI …","J Aslanides - arXiv preprint arXiv:1705.07615, 2017 - arxiv.org",J Aslanides,https://scholar.google.com/citations?user=jWIWqfcAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=jWIWqfcAAAAJ&engine=google_scholar_author&hl=en,jWIWqfcAAAAJ,,,,,,,,,,,,,arxiv.org,PDF,https://arxiv.org/pdf/1705.07615,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=sxf05s7RjbwJ,6.0,"https://scholar.google.com/scholar?cites=13586746337414879155&as_sdt=5,38&sciodt=0,38&hl=en&num=20",13586746337414879155,https://serpapi.com/search.json?as_sdt=5%2C38&cites=13586746337414879155&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:sxf05s7RjbwJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3Asxf05s7RjbwJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=13586746337414879155&hl=en&num=20&as_sdt=0,38",13586746337414879155,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=13586746337414879155&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:sxf05s7RjbwJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
3,A Direct Approximation of AIXI Using Logical State Abstractions,SGG8UIN0FQsJ,https://proceedings.neurips.cc/paper_files/paper/2022/hash/ed91353f700d113e5d848c7e04a858b0-Abstract-Conference.html,"… We propose a practical integration of logical state abstraction with AIXI, a Bayesian optimality notion for reinforcement learning agents, to significantly expand the model class that AIXI …","S Yang-Zhao, T Wang, KS Ng - Advances in Neural …, 2022 - proceedings.neurips.cc",S Yang-Zhao,https://scholar.google.com/citations?user=FwtCLh0AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=FwtCLh0AAAAJ&engine=google_scholar_author&hl=en,FwtCLh0AAAAJ,T Wang,https://scholar.google.com/citations?user=OfOGvmUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=OfOGvmUAAAAJ&engine=google_scholar_author&hl=en,OfOGvmUAAAAJ,KS Ng,https://scholar.google.com/citations?user=4bL3ThUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4bL3ThUAAAAJ&engine=google_scholar_author&hl=en,4bL3ThUAAAAJ,,,,,neurips.cc,PDF,https://proceedings.neurips.cc/paper_files/paper/2022/file/ed91353f700d113e5d848c7e04a858b0-Paper-Conference.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=SGG8UIN0FQsJ,4.0,"https://scholar.google.com/scholar?cites=798672616272191816&as_sdt=5,38&sciodt=0,38&hl=en&num=20",798672616272191816,https://serpapi.com/search.json?as_sdt=5%2C38&cites=798672616272191816&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:SGG8UIN0FQsJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3ASGG8UIN0FQsJ%3Ascholar.google.com%2F&start=0,4.0,"https://scholar.google.com/scholar?cluster=798672616272191816&hl=en&num=20&as_sdt=0,38",798672616272191816,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=798672616272191816&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:SGG8UIN0FQsJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
4,Ideas for a reinforcement learning algorithm that learns programs,Uk5Fg5P_WYIJ,https://link.springer.com/chapter/10.1007/978-3-319-41649-6_36,"… AIXI, which is a general framework for reinforcement learning, can learn programs as the … AIXI has a computable and computationally tractable approximation, MC-AIXI(FAC-CTW), but it …","S Katayama - … General Intelligence: 9th International Conference, AGI …, 2016 - Springer",,,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Uk5Fg5P_WYIJ,4.0,"https://scholar.google.com/scholar?cites=9392819506885512786&as_sdt=5,38&sciodt=0,38&hl=en&num=20",9392819506885512786,https://serpapi.com/search.json?as_sdt=5%2C38&cites=9392819506885512786&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:Uk5Fg5P_WYIJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AUk5Fg5P_WYIJ%3Ascholar.google.com%2F&start=0,,,,,,,,,,,
5,A monte-carlo aixi approximation,Kx94lyXOheMJ,https://www.jair.org/index.php/jair/article/view/10685,… general reinforcement learning agent. Our approach is based on a direct approximation of … evaluates a practical reinforcement learning agent that is directly inspired by the AIXI theory. …,"J Veness, KS Ng, M Hutter, W Uther, D Silver - Journal of Artificial …, 2011 - jair.org",J Veness,https://scholar.google.com/citations?user=_iYrAxEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_iYrAxEAAAAJ&engine=google_scholar_author&hl=en,_iYrAxEAAAAJ,KS Ng,https://scholar.google.com/citations?user=4bL3ThUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4bL3ThUAAAAJ&engine=google_scholar_author&hl=en,4bL3ThUAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,W Uther,https://scholar.google.com/citations?user=-qvphmUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-qvphmUAAAAJ&engine=google_scholar_author&hl=en,-qvphmUAAAAJ,jair.org,PDF,https://www.jair.org/index.php/jair/article/download/10685/25533/,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Kx94lyXOheMJ,221.0,"https://scholar.google.com/scholar?cites=16394736679362502443&as_sdt=5,38&sciodt=0,38&hl=en&num=20",16394736679362502443,https://serpapi.com/search.json?as_sdt=5%2C38&cites=16394736679362502443&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:Kx94lyXOheMJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AKx94lyXOheMJ%3Ascholar.google.com%2F&start=0,28.0,"https://scholar.google.com/scholar?cluster=16394736679362502443&hl=en&num=20&as_sdt=0,38",16394736679362502443,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=16394736679362502443&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:Kx94lyXOheMJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",D Silver,https://scholar.google.com/citations?user=-8DNE4UAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-8DNE4UAAAAJ&engine=google_scholar_author&hl=en,-8DNE4UAAAAJ,,
6,A gentle introduction to the universal algorithmic agent AIXI,Hg-qF1NmLsIJ,https://www.researchgate.net/profile/Marcus-Hutter/publication/228851452_A_gentle_introduction_to_the_universal_algorithmic_agent_AIXI/links/0fcfd513fb2bb4148d000000/A-gentle-introduction-to-the-universal-algorithmic-agent-AIXI.pdf,"… We give strong arguments that the resulting AIXI model is the … supervised learning, how the AIXI model can formally solve … AIXI model, a parameter-free optimal reinforcement learning …","M Hutter - Artificial General Intelligence, 2003 - researchgate.net",M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,,,,,,,,,,,,,researchgate.net,PDF,https://www.researchgate.net/profile/Marcus-Hutter/publication/228851452_A_gentle_introduction_to_the_universal_algorithmic_agent_AIXI/links/0fcfd513fb2bb4148d000000/A-gentle-introduction-to-the-universal-algorithmic-agent-AIXI.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Hg-qF1NmLsIJ,18.0,"https://scholar.google.com/scholar?cites=13992233599352049438&as_sdt=5,38&sciodt=0,38&hl=en&num=20",13992233599352049438,https://serpapi.com/search.json?as_sdt=5%2C38&cites=13992233599352049438&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:Hg-qF1NmLsIJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AHg-qF1NmLsIJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=13992233599352049438&hl=en&num=20&as_sdt=0,38",13992233599352049438,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=13992233599352049438&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:Hg-qF1NmLsIJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,Pdf,
7,On the computability of AIXI,GN4WxQFmLrMJ,https://arxiv.org/abs/1510.05572,"… the reinforcement learning agent AIXI … AIXI is not limit computable, thus it cannot be approximated using finite computation. Our main result is a limit-computable ε-optimal version of AIXI …","J Leike, M Hutter - arXiv preprint arXiv:1510.05572, 2015 - arxiv.org",J Leike,https://scholar.google.com/citations?user=beiWcokAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=beiWcokAAAAJ&engine=google_scholar_author&hl=en,beiWcokAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,,,,,,,,,arxiv.org,PDF,https://arxiv.org/pdf/1510.05572,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=GN4WxQFmLrMJ,9.0,"https://scholar.google.com/scholar?cites=12911369339505401368&as_sdt=5,38&sciodt=0,38&hl=en&num=20",12911369339505401368,https://serpapi.com/search.json?as_sdt=5%2C38&cites=12911369339505401368&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:GN4WxQFmLrMJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AGN4WxQFmLrMJ%3Ascholar.google.com%2F&start=0,14.0,"https://scholar.google.com/scholar?cluster=12911369339505401368&hl=en&num=20&as_sdt=0,38",12911369339505401368,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=12911369339505401368&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:GN4WxQFmLrMJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
8,Q-learning for history-based reinforcement learning,wVMBto02QzIJ,https://proceedings.mlr.press/v29/Daswani13.html,"… reinforcement learning framework, which chooses maps based on a cost criteria. The cost criterion used so far for feature reinforcement learning … We also compare against MC-AIXI on …","M Daswani, P Sunehag… - Asian Conference on …, 2013 - proceedings.mlr.press",M Daswani,https://scholar.google.com/citations?user=GU-CgkEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=GU-CgkEAAAAJ&engine=google_scholar_author&hl=en,GU-CgkEAAAAJ,P Sunehag,https://scholar.google.com/citations?user=7QcT04EAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7QcT04EAAAAJ&engine=google_scholar_author&hl=en,7QcT04EAAAAJ,,,,,,,,,mlr.press,PDF,http://proceedings.mlr.press/v29/Daswani13.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=wVMBto02QzIJ,23.0,"https://scholar.google.com/scholar?cites=3621798507607839681&as_sdt=5,38&sciodt=0,38&hl=en&num=20",3621798507607839681,https://serpapi.com/search.json?as_sdt=5%2C38&cites=3621798507607839681&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:wVMBto02QzIJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AwVMBto02QzIJ%3Ascholar.google.com%2F&start=0,13.0,"https://scholar.google.com/scholar?cluster=3621798507607839681&hl=en&num=20&as_sdt=0,38",3621798507607839681,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=3621798507607839681&engine=google_scholar&hl=en&num=20,"http://scholar.googleusercontent.com/scholar?q=cache:wVMBto02QzIJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
9,Self-Predictive Universal AI,obLq9N9NL2YJ,https://proceedings.neurips.cc/paper_files/paper/2023/hash/56a225639da77e8f7c0409f6d5ba996b-Abstract-Conference.html,"… we call Self-AIXI, that on the contrary to AIXI, maximally exploits … We prove that Self-AIXI converges to AIXI, and inherits a … planning problem are distributional reinforcement learning [44], …","E Catt, J Grau-Moya, M Hutter… - Advances in …, 2023 - proceedings.neurips.cc",E Catt,https://scholar.google.com/citations?user=d1JYeMIAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=d1JYeMIAAAAJ&engine=google_scholar_author&hl=en,d1JYeMIAAAAJ,J Grau-Moya,https://scholar.google.com/citations?user=u8ccN8sAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=u8ccN8sAAAAJ&engine=google_scholar_author&hl=en,u8ccN8sAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,,,,,neurips.cc,PDF,https://proceedings.neurips.cc/paper_files/paper/2023/file/56a225639da77e8f7c0409f6d5ba996b-Paper-Conference.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=obLq9N9NL2YJ,,,,,"https://scholar.google.com/scholar?q=related:obLq9N9NL2YJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",https://serpapi.com/search.json?as_sdt=0%2C38&engine=google_scholar&hl=en&num=20&q=related%3AobLq9N9NL2YJ%3Ascholar.google.com%2F&start=0,2.0,"https://scholar.google.com/scholar?cluster=7363189540056117921&hl=en&num=20&as_sdt=0,38",7363189540056117921,https://serpapi.com/search.json?as_sdt=0%2C38&cluster=7363189540056117921&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:obLq9N9NL2YJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22&hl=en&num=20&as_sdt=0,38",,,,,,
