position,title,result_id,link,snippet,publication_info_summary,publication_info_authors_0_name,publication_info_authors_0_link,publication_info_authors_0_serpapi_scholar_link,publication_info_authors_0_author_id,publication_info_authors_1_name,publication_info_authors_1_link,publication_info_authors_1_serpapi_scholar_link,publication_info_authors_1_author_id,publication_info_authors_2_name,publication_info_authors_2_link,publication_info_authors_2_serpapi_scholar_link,publication_info_authors_2_author_id,resources_0_title,resources_0_file_format,resources_0_link,inline_links_serpapi_cite_link,inline_links_cited_by_total,inline_links_cited_by_link,inline_links_cited_by_cites_id,inline_links_cited_by_serpapi_scholar_link,inline_links_related_pages_link,inline_links_serpapi_related_pages_link,inline_links_versions_total,inline_links_versions_link,inline_links_versions_cluster_id,inline_links_versions_serpapi_scholar_link,inline_links_cached_page_link,publication_info_authors_3_name,publication_info_authors_3_link,publication_info_authors_3_serpapi_scholar_link,publication_info_authors_3_author_id,type,publication_info_authors_4_name,publication_info_authors_4_link,publication_info_authors_4_serpapi_scholar_link,publication_info_authors_4_author_id,inline_links_html_version,resources_1_title,resources_1_link,publication_info_authors_5_name,publication_info_authors_5_link,publication_info_authors_5_serpapi_scholar_link,publication_info_authors_5_author_id,publication_info_authors_6_name,publication_info_authors_6_link,publication_info_authors_6_serpapi_scholar_link,publication_info_authors_6_author_id
0,Timetraveler: Reinforcement learning for temporal knowledge graph forecasting,lK34YvgFpH0J,https://arxiv.org/abs/2109.04101,"… Temporal knowledge graph (TKG) reasoning is a crucial task that has gained … reinforcement learning method for forecasting. Specifically, the agent travels on historical knowledge graph …","H Sun, J Zhong, Y Ma, Z Han, K He - arXiv preprint arXiv:2109.04101, 2021 - arxiv.org",Y Ma,https://scholar.google.com/citations?user=fj5DzgcAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=fj5DzgcAAAAJ&engine=google_scholar_author&hl=en,fj5DzgcAAAAJ,Z Han,https://scholar.google.com/citations?user=HMdgrwoAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=HMdgrwoAAAAJ&engine=google_scholar_author&hl=en,HMdgrwoAAAAJ,K He,https://scholar.google.com/citations?user=YTQnGJsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=YTQnGJsAAAAJ&engine=google_scholar_author&hl=en,YTQnGJsAAAAJ,arxiv.org,PDF,https://arxiv.org/pdf/2109.04101,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=lK34YvgFpH0J,103.0,"https://scholar.google.com/scholar?cites=9053367715292032404&as_sdt=5,47&sciodt=0,47&hl=en&num=20",9053367715292032404,https://serpapi.com/search.json?as_sdt=5%2C47&cites=9053367715292032404&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:lK34YvgFpH0J:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AlK34YvgFpH0J%3Ascholar.google.com%2F&start=0,5.0,"https://scholar.google.com/scholar?cluster=9053367715292032404&hl=en&num=20&as_sdt=0,47",9053367715292032404,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=9053367715292032404&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:lK34YvgFpH0J:scholar.google.com/+%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",,,,,,,,,,,,,,,,,,,,
1,Safe reinforcement learning via curriculum induction,tfH9mMRQM3UJ,https://proceedings.neurips.cc/paper/2020/hash/8df6a65941e4c9da40a4fb899de65c55-Abstract.html,"… Safety is a major concern that prevents application of reinforcement learning (RL) [45] to many practical problems [16]. Among the RL safety notions studied in the literature [23], …","M Turchetta, A Kolobov, S Shah… - Advances in Neural …, 2020 - proceedings.neurips.cc",M Turchetta,https://scholar.google.com/citations?user=Em6KUq8AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=Em6KUq8AAAAJ&engine=google_scholar_author&hl=en,Em6KUq8AAAAJ,A Kolobov,https://scholar.google.com/citations?user=xEWgxBsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=xEWgxBsAAAAJ&engine=google_scholar_author&hl=en,xEWgxBsAAAAJ,S Shah,https://scholar.google.com/citations?user=1PEHzesAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=1PEHzesAAAAJ&engine=google_scholar_author&hl=en,1PEHzesAAAAJ,neurips.cc,PDF,https://proceedings.neurips.cc/paper/2020/file/8df6a65941e4c9da40a4fb899de65c55-Paper.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=tfH9mMRQM3UJ,90.0,"https://scholar.google.com/scholar?cites=8445182531560403381&as_sdt=5,47&sciodt=0,47&hl=en&num=20",8445182531560403381,https://serpapi.com/search.json?as_sdt=5%2C47&cites=8445182531560403381&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:tfH9mMRQM3UJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AtfH9mMRQM3UJ%3Ascholar.google.com%2F&start=0,9.0,"https://scholar.google.com/scholar?cluster=8445182531560403381&hl=en&num=20&as_sdt=0,47",8445182531560403381,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=8445182531560403381&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:tfH9mMRQM3UJ:scholar.google.com/+%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",,,,,,,,,,,,,,,,,,,,
2,Interactive recommender system via knowledge graph-enhanced reinforcement learning,aVQ7jm2mwjgJ,https://dl.acm.org/doi/abs/10.1145/3397271.3401174,"… Knowledge Graph enhanced Q-learning framework for interactive Recommendation), a novel architecture that extends DQN… to-end deep reinforcement learning based framework KGQR …","S Zhou, X Dai, H Chen, W Zhang, K Ren… - Proceedings of the 43rd …, 2020 - dl.acm.org",X Dai,https://scholar.google.com/citations?user=X20p7l4AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=X20p7l4AAAAJ&engine=google_scholar_author&hl=en,X20p7l4AAAAJ,H Chen,https://scholar.google.com/citations?user=J_GWOJAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=J_GWOJAAAAAJ&engine=google_scholar_author&hl=en,J_GWOJAAAAAJ,W Zhang,https://scholar.google.com/citations?user=Qzss0GEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=Qzss0GEAAAAJ&engine=google_scholar_author&hl=en,Qzss0GEAAAAJ,arxiv.org,PDF,https://arxiv.org/pdf/2006.10389,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=aVQ7jm2mwjgJ,156.0,"https://scholar.google.com/scholar?cites=4090014401073730665&as_sdt=5,47&sciodt=0,47&hl=en&num=20",4090014401073730665,https://serpapi.com/search.json?as_sdt=5%2C47&cites=4090014401073730665&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:aVQ7jm2mwjgJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AaVQ7jm2mwjgJ%3Ascholar.google.com%2F&start=0,4.0,"https://scholar.google.com/scholar?cluster=4090014401073730665&hl=en&num=20&as_sdt=0,47",4090014401073730665,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=4090014401073730665&engine=google_scholar&hl=en&num=20,,K Ren,https://scholar.google.com/citations?user=USnQVWgAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=USnQVWgAAAAJ&engine=google_scholar_author&hl=en,USnQVWgAAAAJ,,,,,,,,,,,,,,,,
3,Deeppath: A reinforcement learning method for knowledge graph reasoning,ljqVj9Pm070J,https://arxiv.org/abs/1707.06690,"… 2016) is a more recent work on KG reasoning, which also applies reinforcement learning … our RL model tries to add new facts to knowledge graph (KG) by reasoning on existing KG …","W Xiong, T Hoang, WY Wang - arXiv preprint arXiv:1707.06690, 2017 - arxiv.org",W Xiong,https://scholar.google.com/citations?user=J9_LwQUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=J9_LwQUAAAAJ&engine=google_scholar_author&hl=en,J9_LwQUAAAAJ,WY Wang,https://scholar.google.com/citations?user=gf8Ms_8AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=gf8Ms_8AAAAJ&engine=google_scholar_author&hl=en,gf8Ms_8AAAAJ,,,,,arxiv.org,PDF,https://arxiv.org/pdf/1707.06690,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=ljqVj9Pm070J,783.0,"https://scholar.google.com/scholar?cites=13678530289575738006&as_sdt=5,47&sciodt=0,47&hl=en&num=20",13678530289575738006,https://serpapi.com/search.json?as_sdt=5%2C47&cites=13678530289575738006&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:ljqVj9Pm070J:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AljqVj9Pm070J%3Ascholar.google.com%2F&start=0,8.0,"https://scholar.google.com/scholar?cluster=13678530289575738006&hl=en&num=20&as_sdt=0,47",13678530289575738006,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=13678530289575738006&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:ljqVj9Pm070J:scholar.google.com/+%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",,,,,,,,,,,,,,,,,,,,
4,Vulnerability of deep reinforcement learning to policy induction attacks,EGjzcPkrX40J,https://link.springer.com/chapter/10.1007/978-3-319-62416-7_19,"… establish that reinforcement learning techniques … DQN models. Furthermore, we present a novel class of attacks based on this vulnerability that enable policy manipulation and induction …","V Behzadan, A Munir - Machine Learning and Data Mining in Pattern …, 2017 - Springer",V Behzadan,https://scholar.google.com/citations?user=MYMANOYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=MYMANOYAAAAJ&engine=google_scholar_author&hl=en,MYMANOYAAAAJ,A Munir,https://scholar.google.com/citations?user=-P9waaQAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-P9waaQAAAAJ&engine=google_scholar_author&hl=en,-P9waaQAAAAJ,,,,,arxiv.org,PDF,https://arxiv.org/pdf/1701.04143,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=EGjzcPkrX40J,319.0,"https://scholar.google.com/scholar?cites=10186909232477202448&as_sdt=5,47&sciodt=0,47&hl=en&num=20",10186909232477202448,https://serpapi.com/search.json?as_sdt=5%2C47&cites=10186909232477202448&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:EGjzcPkrX40J:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AEGjzcPkrX40J%3Ascholar.google.com%2F&start=0,6.0,"https://scholar.google.com/scholar?cluster=10186909232477202448&hl=en&num=20&as_sdt=0,47",10186909232477202448,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=10186909232477202448&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,,,
5,Reasoning like human: Hierarchical reinforcement learning for knowledge graph reasoning,-1CnwyW_JpQJ,https://opus.lib.uts.edu.au/handle/10453/157768,… Reinforcement Learning framework to learn chains of reasoning from a Knowledge Graph … a hierarchy of two-level Reinforcement Learning policies for encoding historical information …,"G Wan, S Pan, C Gong, C Zhou… - … Joint Conference on …, 2021 - opus.lib.uts.edu.au",G Wan,https://scholar.google.com/citations?user=R-Wy9ksAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=R-Wy9ksAAAAJ&engine=google_scholar_author&hl=en,R-Wy9ksAAAAJ,S Pan,https://scholar.google.com/citations?user=frWRJN4AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=frWRJN4AAAAJ&engine=google_scholar_author&hl=en,frWRJN4AAAAJ,C Gong,https://scholar.google.com/citations?user=guttoBwAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=guttoBwAAAAJ&engine=google_scholar_author&hl=en,guttoBwAAAAJ,uts.edu.au,PDF,https://opus.lib.uts.edu.au/bitstream/10453/157768/2/0267.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=-1CnwyW_JpQJ,87.0,"https://scholar.google.com/scholar?cites=10675430135645556987&as_sdt=5,47&sciodt=0,47&hl=en&num=20",10675430135645556987,https://serpapi.com/search.json?as_sdt=5%2C47&cites=10675430135645556987&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:-1CnwyW_JpQJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3A-1CnwyW_JpQJ%3Ascholar.google.com%2F&start=0,8.0,"https://scholar.google.com/scholar?cluster=10675430135645556987&hl=en&num=20&as_sdt=0,47",10675430135645556987,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=10675430135645556987&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:-1CnwyW_JpQJ:scholar.google.com/+%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",C Zhou,https://scholar.google.com/citations?user=4oBUWVEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4oBUWVEAAAAJ&engine=google_scholar_author&hl=en,4oBUWVEAAAAJ,,,,,,,,,,,,,,,,
6,KERL: A knowledge-guided reinforcement learning model for sequential recommendation,oF5KuB-PnlYJ,https://dl.acm.org/doi/abs/10.1145/3397271.3401134,"… To improve the predictive capacity, we adopt reinforcement learning (RL) for developing … of knowledge graph (KG), we propose a novel Knowledge-guidEd Reinforcement Learning …","P Wang, Y Fan, L Xia, WX Zhao, SZ Niu… - Proceedings of the 43rd …, 2020 - dl.acm.org",P Wang,https://scholar.google.com/citations?user=BEDKYxUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=BEDKYxUAAAAJ&engine=google_scholar_author&hl=en,BEDKYxUAAAAJ,Y Fan,https://scholar.google.com/citations?user=IZ2kY8gAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=IZ2kY8gAAAAJ&engine=google_scholar_author&hl=en,IZ2kY8gAAAAJ,L Xia,https://scholar.google.com/citations?user=NRwerBAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=NRwerBAAAAAJ&engine=google_scholar_author&hl=en,NRwerBAAAAAJ,google.com,PDF,https://drive.google.com/file/d/1An5YXDvQ1K0A1AwpJG-I4gTbIQ26gUDS/view,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=oF5KuB-PnlYJ,121.0,"https://scholar.google.com/scholar?cites=6241583499980725920&as_sdt=5,47&sciodt=0,47&hl=en&num=20",6241583499980725920,https://serpapi.com/search.json?as_sdt=5%2C47&cites=6241583499980725920&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:oF5KuB-PnlYJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AoF5KuB-PnlYJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=6241583499980725920&hl=en&num=20&as_sdt=0,47",6241583499980725920,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=6241583499980725920&engine=google_scholar&hl=en&num=20,,WX Zhao,https://scholar.google.com/citations?user=JNhNacoAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=JNhNacoAAAAJ&engine=google_scholar_author&hl=en,JNhNacoAAAAJ,,,,,,,,,,,,,,,,
7,Hierarchical reinforcement learning for pedagogical policy induction,RSEzog4cASMJ,https://link.springer.com/chapter/10.1007/978-3-030-23204-7_45,"… , off-policy Gaussian Processes based Hierarchical Reinforcement Learning (HRL) framework to … a Deep Q-Network (DQN) induced policy and a random yet reasonable baseline policy. …","G Zhou, H Azizsoltani, MS Ausin, T Barnes… - … IL, USA, June 25-29, 2019 …, 2019 - Springer",H Azizsoltani,https://scholar.google.com/citations?user=njjeOtkAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=njjeOtkAAAAJ&engine=google_scholar_author&hl=en,njjeOtkAAAAJ,MS Ausin,https://scholar.google.com/citations?user=n7j70gsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=n7j70gsAAAAJ&engine=google_scholar_author&hl=en,n7j70gsAAAAJ,T Barnes,https://scholar.google.com/citations?user=7rSs25YAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7rSs25YAAAAJ&engine=google_scholar_author&hl=en,7rSs25YAAAAJ,nsf.gov,PDF,https://par.nsf.gov/servlets/purl/10136493,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=RSEzog4cASMJ,42.0,"https://scholar.google.com/scholar?cites=2522328115480568133&as_sdt=5,47&sciodt=0,47&hl=en&num=20",2522328115480568133,https://serpapi.com/search.json?as_sdt=5%2C47&cites=2522328115480568133&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:RSEzog4cASMJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3ARSEzog4cASMJ%3Ascholar.google.com%2F&start=0,6.0,"https://scholar.google.com/scholar?cluster=2522328115480568133&hl=en&num=20&as_sdt=0,47",2522328115480568133,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=2522328115480568133&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,,,
8,Rule-aware reinforcement learning for knowledge graph reasoning,sdAnSBNZPUQJ,https://aclanthology.org/2021.findings-acl.412.pdf,Multi-hop reasoning is an effective and explainable approach to predicting missing facts in Knowledge Graphs (KGs). It usually adopts the Reinforcement Learning (RL) framework and …,"Z Hou, X Jin, Z Li, L Bai - Findings of the Association for …, 2021 - aclanthology.org",X Jin,https://scholar.google.com/citations?user=5TRLpyIAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=5TRLpyIAAAAJ&engine=google_scholar_author&hl=en,5TRLpyIAAAAJ,Z Li,https://scholar.google.com/citations?user=fibOdOkAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=fibOdOkAAAAJ&engine=google_scholar_author&hl=en,fibOdOkAAAAJ,L Bai,https://scholar.google.com/citations?user=Zrd9pCMAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=Zrd9pCMAAAAJ&engine=google_scholar_author&hl=en,Zrd9pCMAAAAJ,aclanthology.org,PDF,https://aclanthology.org/2021.findings-acl.412.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=sdAnSBNZPUQJ,21.0,"https://scholar.google.com/scholar?cites=4917184307508269233&as_sdt=5,47&sciodt=0,47&hl=en&num=20",4917184307508269233,https://serpapi.com/search.json?as_sdt=5%2C47&cites=4917184307508269233&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:sdAnSBNZPUQJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3AsdAnSBNZPUQJ%3Ascholar.google.com%2F&start=0,2.0,"https://scholar.google.com/scholar?cluster=4917184307508269233&hl=en&num=20&as_sdt=0,47",4917184307508269233,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=4917184307508269233&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:sdAnSBNZPUQJ:scholar.google.com/+%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",,,,,Pdf,,,,,,,,,,,,,,,
9,GRL: Knowledge graph completion with GAN-based reinforcement learning,4mJwBc2tywMJ,https://www.sciencedirect.com/science/article/pii/S0950705120305505,"… knowledge graph are important factors for knowledge graph … based on GAN and reinforcement learning. We use WGAN to … NAS) to knowledge graph reasoning, and combine GAN and …","Q Wang, Y Ji, Y Hao, J Cao - Knowledge-Based Systems, 2020 - Elsevier",Y Ji,https://scholar.google.com/citations?user=1-GjVYgAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=1-GjVYgAAAAJ&engine=google_scholar_author&hl=en,1-GjVYgAAAAJ,Y Hao,https://scholar.google.com/citations?user=26lghIsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=26lghIsAAAAJ&engine=google_scholar_author&hl=en,26lghIsAAAAJ,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=4mJwBc2tywMJ,47.0,"https://scholar.google.com/scholar?cites=273503298457199330&as_sdt=5,47&sciodt=0,47&hl=en&num=20",273503298457199330,https://serpapi.com/search.json?as_sdt=5%2C47&cites=273503298457199330&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:4mJwBc2tywMJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+(%22aixi%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22)&hl=en&num=20&as_sdt=0,47",https://serpapi.com/search.json?as_sdt=0%2C47&engine=google_scholar&hl=en&num=20&q=related%3A4mJwBc2tywMJ%3Ascholar.google.com%2F&start=0,2.0,"https://scholar.google.com/scholar?cluster=273503298457199330&hl=en&num=20&as_sdt=0,47",273503298457199330,https://serpapi.com/search.json?as_sdt=0%2C47&cluster=273503298457199330&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,,,
