position,title,result_id,link,snippet,publication_info_summary,publication_info_authors_0_name,publication_info_authors_0_link,publication_info_authors_0_serpapi_scholar_link,publication_info_authors_0_author_id,publication_info_authors_1_name,publication_info_authors_1_link,publication_info_authors_1_serpapi_scholar_link,publication_info_authors_1_author_id,publication_info_authors_2_name,publication_info_authors_2_link,publication_info_authors_2_serpapi_scholar_link,publication_info_authors_2_author_id,resources_0_title,resources_0_file_format,resources_0_link,inline_links_serpapi_cite_link,inline_links_cited_by_total,inline_links_cited_by_link,inline_links_cited_by_cites_id,inline_links_cited_by_serpapi_scholar_link,inline_links_related_pages_link,inline_links_serpapi_related_pages_link,inline_links_versions_total,inline_links_versions_link,inline_links_versions_cluster_id,inline_links_versions_serpapi_scholar_link,type,inline_links_cached_page_link,publication_info_authors_3_name,publication_info_authors_3_link,publication_info_authors_3_serpapi_scholar_link,publication_info_authors_3_author_id,resources_1_title,resources_1_link
1,Bayesian reinforcement learning,18PTp0x1v2cJ,https://link.springer.com/chapter/10.1007/978-3-642-27645-3_11,"… In this section, we study a Bayesian actor-critic (BAC) algorithm that incorporates GPTD in its critic (Ghavamzadeh and Engel, 2007). We show how the posterior moments returned by …","N Vlassis, M Ghavamzadeh, S Mannor… - Reinforcement Learning …, 2012 - Springer",N Vlassis,https://scholar.google.com/citations?user=JJWWPjsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=JJWWPjsAAAAJ&engine=google_scholar_author&hl=en,JJWWPjsAAAAJ,M Ghavamzadeh,https://scholar.google.com/citations?user=Bo-wyrkAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=Bo-wyrkAAAAJ&engine=google_scholar_author&hl=en,Bo-wyrkAAAAJ,S Mannor,https://scholar.google.com/citations?user=q1HlbIUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=q1HlbIUAAAAJ&engine=google_scholar_author&hl=en,q1HlbIUAAAAJ,uni.lu,PDF,https://orbilu.uni.lu/bitstream/10993/3390/1/BRLchapter.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=18PTp0x1v2cJ,103.0,"https://scholar.google.com/scholar?cites=7475822878551950295&as_sdt=20000005&sciodt=0,21&hl=en&num=20",7475822878551950295,https://serpapi.com/search.json?as_sdt=20000005&cites=7475822878551950295&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:18PTp0x1v2cJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3A18PTp0x1v2cJ%3Ascholar.google.com%2F&start=0,13.0,"https://scholar.google.com/scholar?cluster=7475822878551950295&hl=en&num=20&as_sdt=0,21",7475822878551950295,https://serpapi.com/search.json?as_sdt=0%2C21&cluster=7475822878551950295&engine=google_scholar&hl=en&num=20,,,,,,,,
2,Reinforcement learning algorithms for solving classification problems,UlqYEg2IP8UJ,https://ieeexplore.ieee.org/abstract/document/5967372/,"… Actor-Critic Learning Automaton (ALCA) [3], although we could also have used QV-learning [8] or other actor-critic … Furthermore, other reinforcement learning algorithms such as the AIXI …","MA Wiering, H Van Hasselt… - … and Reinforcement …, 2011 - ieeexplore.ieee.org",MA Wiering,https://scholar.google.com/citations?user=880vFIgAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=880vFIgAAAAJ&engine=google_scholar_author&hl=en,880vFIgAAAAJ,H Van Hasselt,https://scholar.google.com/citations?user=W80oBMkAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=W80oBMkAAAAJ&engine=google_scholar_author&hl=en,W80oBMkAAAAJ,,,,,researchgate.net,PDF,https://www.researchgate.net/profile/Lambert-Schomaker/publication/224250582_Reinforcement_learning_algorithms_for_solving_classification_problems/links/0fcfd508e4b86cc5a5000000/Reinforcement-learning-algorithms-for-solving-classification-problems.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=UlqYEg2IP8UJ,88.0,"https://scholar.google.com/scholar?cites=14213228538732501586&as_sdt=20000005&sciodt=0,21&hl=en&num=20",14213228538732501586,https://serpapi.com/search.json?as_sdt=20000005&cites=14213228538732501586&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:UlqYEg2IP8UJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3AUlqYEg2IP8UJ%3Ascholar.google.com%2F&start=0,9.0,"https://scholar.google.com/scholar?cluster=14213228538732501586&hl=en&num=20&as_sdt=0,21",14213228538732501586,https://serpapi.com/search.json?as_sdt=0%2C21&cluster=14213228538732501586&engine=google_scholar&hl=en&num=20,,,,,,,,
3,Multiagent reinforcement learning-based cooperative multitype task offloading strategy for internet of vehicles in B5G/6G network,lKB11Y3k6AcJ,https://ieeexplore.ieee.org/abstract/document/10045759/,"… the delay of task execution, we regard cooperative offloading as a Markov decision process (MDP), and improve the convergence speed and stability of traditional soft actor-critic (SAC) …","Y Cui, H Li, D Zhang, A Zhu, Y Li… - IEEE Internet of Things …, 2023 - ieeexplore.ieee.org",,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=lKB11Y3k6AcJ,18.0,"https://scholar.google.com/scholar?cites=569956650685145236&as_sdt=20000005&sciodt=0,21&hl=en&num=20",569956650685145236,https://serpapi.com/search.json?as_sdt=20000005&cites=569956650685145236&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:lKB11Y3k6AcJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3AlKB11Y3k6AcJ%3Ascholar.google.com%2F&start=0,,,,,,,,,,,,
4,Optimal Consensus Control for Continuous-time Multi-agent Systems via Actor-Critic Neural Networks,0OVp3GfHdUUJ,https://ieeexplore.ieee.org/abstract/document/9738588/,"… by utilizing the framework of reinforcement learning. A leader-follower … Furthermore, an actor-critic neural network is applied for the PI … learning, policy iteration, actor-critic neural network …","X Jia, K Wolter - 2022 8th International Conference on …, 2022 - ieeexplore.ieee.org",,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=0OVp3GfHdUUJ,,,,,"https://scholar.google.com/scholar?q=related:0OVp3GfHdUUJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3A0OVp3GfHdUUJ%3Ascholar.google.com%2F&start=0,,,,,,,,,,,,
5,Distributed Actor-Critic Approach for Frequency Synchronization of Isolated AC Microgrids,19O5jx29iB8J,https://ieeexplore.ieee.org/abstract/document/10142098/,"… Reinforcement learning techniques are used to study this consensus problem, and the actor-critic … The algorithm for the actorcritic method on each DG is presented, and its effectiveness …","SW Lin, CF Tung, CC Chu - 2023 IEEE/IAS 59th Industrial and …, 2023 - ieeexplore.ieee.org",SW Lin,https://scholar.google.com/citations?user=qwFjTH0AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=qwFjTH0AAAAJ&engine=google_scholar_author&hl=en,qwFjTH0AAAAJ,CC Chu,https://scholar.google.com/citations?user=RHOx02cAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=RHOx02cAAAAJ&engine=google_scholar_author&hl=en,RHOx02cAAAAJ,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=19O5jx29iB8J,1.0,"https://scholar.google.com/scholar?cites=2272273946671436759&as_sdt=20000005&sciodt=0,21&hl=en&num=20",2272273946671436759,https://serpapi.com/search.json?as_sdt=20000005&cites=2272273946671436759&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:19O5jx29iB8J:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3A19O5jx29iB8J%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=2272273946671436759&hl=en&num=20&as_sdt=0,21",2272273946671436759,https://serpapi.com/search.json?as_sdt=0%2C21&cluster=2272273946671436759&engine=google_scholar&hl=en&num=20,,,,,,,,
6,Observer-based consensus control for MASs with prescribed constraints via reinforcement learning algorithm,6VgQlrs4n6YJ,https://ieeexplore.ieee.org/abstract/document/10225438/,"… In addition, the updating laws of actor-critic NNs are established by using a simplified reinforcement learning (RL) algorithm based on the uniqueness of optimal solution, and the …","A Luo, Q Zhou, H Ma, H Li - IEEE Transactions on Neural …, 2023 - ieeexplore.ieee.org",,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=6VgQlrs4n6YJ,27.0,"https://scholar.google.com/scholar?cites=12006377509920725225&as_sdt=20000005&sciodt=0,21&hl=en&num=20",12006377509920725225,https://serpapi.com/search.json?as_sdt=20000005&cites=12006377509920725225&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:6VgQlrs4n6YJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3A6VgQlrs4n6YJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=12006377509920725225&hl=en&num=20&as_sdt=0,21",12006377509920725225,https://serpapi.com/search.json?as_sdt=0%2C21&cluster=12006377509920725225&engine=google_scholar&hl=en&num=20,,,,,,,,
7,Safe Reinforcement Learning for Connected and Automated Vehicle Platooning,QYeepJLX9XIJ,https://ieeexplore.ieee.org/abstract/document/10639981/,"… reinforcement learning (… actor-critic RL framework to synthesize efficient control policies for CAV platooning. Specifically, a Lyapunov-based critic network is proposed in the actor-critic …","K Jiang, Y Lu, R Su - 2024 IEEE 7th International Conference …, 2024 - ieeexplore.ieee.org",K Jiang,https://scholar.google.com/citations?user=tCHMPX0AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=tCHMPX0AAAAJ&engine=google_scholar_author&hl=en,tCHMPX0AAAAJ,Y Lu,https://scholar.google.com/citations?user=_uFez_0AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_uFez_0AAAAJ&engine=google_scholar_author&hl=en,_uFez_0AAAAJ,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=QYeepJLX9XIJ,,,,,"https://scholar.google.com/scholar?q=related:QYeepJLX9XIJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3AQYeepJLX9XIJ%3Ascholar.google.com%2F&start=0,,,,,,,,,,,,
8,Towards machine learning of motor skills,s09kl0WTGdYJ,https://link.springer.com/chapter/10.1007/978-3-540-74764-2_22,"… primitive Aixi … reinforcement learning methods, ie, the Natural Actor-Critic and the Reward-Weighted Regression algorithm. We demonstrate the efficiency of these reinforcement …","J Peters, S Schaal, B Schölkopf - Autonome Mobile Systeme 2007: 20 …, 2007 - Springer",J Peters,https://scholar.google.com/citations?user=-kIVAcAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-kIVAcAAAAAJ&engine=google_scholar_author&hl=en,-kIVAcAAAAAJ,S Schaal,https://scholar.google.com/citations?user=YGQs1AYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=YGQs1AYAAAAJ&engine=google_scholar_author&hl=en,YGQs1AYAAAAJ,B Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=DZ-fHPgAAAAJ&engine=google_scholar_author&hl=en,DZ-fHPgAAAAJ,tu-darmstadt.de,PDF,https://www.ias.informatik.tu-darmstadt.de/uploads/Publications/Publications/Peters_POAMS_2007.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=s09kl0WTGdYJ,4.0,"https://scholar.google.com/scholar?cites=15427523925636304819&as_sdt=20000005&sciodt=0,21&hl=en&num=20",15427523925636304819,https://serpapi.com/search.json?as_sdt=20000005&cites=15427523925636304819&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:s09kl0WTGdYJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3As09kl0WTGdYJ%3Ascholar.google.com%2F&start=0,11.0,"https://scholar.google.com/scholar?cluster=15427523925636304819&hl=en&num=20&as_sdt=0,21",15427523925636304819,https://serpapi.com/search.json?as_sdt=0%2C21&cluster=15427523925636304819&engine=google_scholar&hl=en&num=20,,,,,,,,
9,Policy learning for motor skills,04cNeu01-mcJ,https://link.springer.com/chapter/10.1007/978-3-540-69162-4_25,… of supervised and reinforcement learning in order to aquire … forced to execute each motor primitive Aixi = bi in order to fulfill … that the Natural Actor-Critic outperforms both finite-difference …,"J Peters, S Schaal - International Conference on Neural Information …, 2007 - Springer",J Peters,https://scholar.google.com/citations?user=-kIVAcAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-kIVAcAAAAAJ&engine=google_scholar_author&hl=en,-kIVAcAAAAAJ,S Schaal,https://scholar.google.com/citations?user=YGQs1AYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=YGQs1AYAAAAJ&engine=google_scholar_author&hl=en,YGQs1AYAAAAJ,,,,,researchgate.net,PDF,https://www.researchgate.net/profile/Jan-Peters-2/publication/41781907_Policy_Learning_for_Motor_Skills/links/00b7d51462f91f1984000000/Policy-Learning-for-Motor-Skills.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=04cNeu01-mcJ,22.0,"https://scholar.google.com/scholar?cites=7492360224155469779&as_sdt=20000005&sciodt=0,21&hl=en&num=20",7492360224155469779,https://serpapi.com/search.json?as_sdt=20000005&cites=7492360224155469779&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:04cNeu01-mcJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3A04cNeu01-mcJ%3Ascholar.google.com%2F&start=0,11.0,"https://scholar.google.com/scholar?cluster=7492360224155469779&hl=en&num=20&as_sdt=0,21",7492360224155469779,https://serpapi.com/search.json?as_sdt=0%2C21&cluster=7492360224155469779&engine=google_scholar&hl=en&num=20,,,,,,,,
10,Distributed optimal synchronization control of linear networked systems under unknown dynamics,PKh_bw36itYJ,https://ieeexplore.ieee.org/abstract/document/7963029/,"… Actor-critic structures [13] are used efficiently in RL, specifically … integral reinforcement learning (IRL) and actor-critic structures … Moreover, by using actor-critic-identifier approximators for …","F Tatari, MB Naghibi-Sistani… - 2017 American …, 2017 - ieeexplore.ieee.org",F Tatari,https://scholar.google.com/citations?user=kocqXnAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=kocqXnAAAAAJ&engine=google_scholar_author&hl=en,kocqXnAAAAAJ,MB Naghibi-Sistani,https://scholar.google.com/citations?user=3OiE5loAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=3OiE5loAAAAJ&engine=google_scholar_author&hl=en,3OiE5loAAAAJ,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=PKh_bw36itYJ,13.0,"https://scholar.google.com/scholar?cites=15459443606514804796&as_sdt=20000005&sciodt=0,21&hl=en&num=20",15459443606514804796,https://serpapi.com/search.json?as_sdt=20000005&cites=15459443606514804796&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:PKh_bw36itYJ:scholar.google.com/&scioq=%22reinforcement+learning%22+OR+%22POMDP%22+OR+%22Bayesian+optimization%22+OR+%22Bayesian+reinforcement+learning%22+OR+%22Partial+observability%22+OR+%22monte+carlo+planning%22+OR+%22BADDr%22+OR+%22monte+carlo+tree+search%22+OR+%22temporal+difference%22+or+%22actor-critic%22+or+%22AIXI%22&hl=en&num=20&as_sdt=0,21",https://serpapi.com/search.json?as_sdt=0%2C21&engine=google_scholar&hl=en&num=20&q=related%3APKh_bw36itYJ%3Ascholar.google.com%2F&start=0,,,,,,,,,,,,
