position,title,result_id,link,snippet,publication_info_summary,publication_info_authors_0_name,publication_info_authors_0_link,publication_info_authors_0_serpapi_scholar_link,publication_info_authors_0_author_id,publication_info_authors_1_name,publication_info_authors_1_link,publication_info_authors_1_serpapi_scholar_link,publication_info_authors_1_author_id,publication_info_authors_2_name,publication_info_authors_2_link,publication_info_authors_2_serpapi_scholar_link,publication_info_authors_2_author_id,publication_info_authors_3_name,publication_info_authors_3_link,publication_info_authors_3_serpapi_scholar_link,publication_info_authors_3_author_id,publication_info_authors_4_name,publication_info_authors_4_link,publication_info_authors_4_serpapi_scholar_link,publication_info_authors_4_author_id,resources_0_title,resources_0_file_format,resources_0_link,inline_links_serpapi_cite_link,inline_links_cited_by_total,inline_links_cited_by_link,inline_links_cited_by_cites_id,inline_links_cited_by_serpapi_scholar_link,inline_links_related_pages_link,inline_links_serpapi_related_pages_link,inline_links_versions_total,inline_links_versions_link,inline_links_versions_cluster_id,inline_links_versions_serpapi_scholar_link,inline_links_cached_page_link,type,inline_links_html_version
0,A monte-carlo aixi approximation,Kx94lyXOheMJ,https://www.jair.org/index.php/jair/article/view/10685,"… AIXI, a Bayesian optimality notion for general reinforcement learning agents. Previously, it has been unclear whether the theory of AIXI … a practical agent can be built from the AIXI theory. …","J Veness, KS Ng, M Hutter, W Uther, D Silver - Journal of Artificial …, 2011 - jair.org",J Veness,https://scholar.google.com/citations?user=_iYrAxEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_iYrAxEAAAAJ&engine=google_scholar_author&hl=en,_iYrAxEAAAAJ,KS Ng,https://scholar.google.com/citations?user=4bL3ThUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4bL3ThUAAAAJ&engine=google_scholar_author&hl=en,4bL3ThUAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,W Uther,https://scholar.google.com/citations?user=-qvphmUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-qvphmUAAAAJ&engine=google_scholar_author&hl=en,-qvphmUAAAAJ,D Silver,https://scholar.google.com/citations?user=-8DNE4UAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-8DNE4UAAAAJ&engine=google_scholar_author&hl=en,-8DNE4UAAAAJ,jair.org,PDF,https://www.jair.org/index.php/jair/article/download/10685/25533/,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Kx94lyXOheMJ,221.0,"https://scholar.google.com/scholar?cites=16394736679362502443&as_sdt=80005&sciodt=0,11&hl=en&num=20",16394736679362502443,https://serpapi.com/search.json?as_sdt=80005&cites=16394736679362502443&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:Kx94lyXOheMJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AKx94lyXOheMJ%3Ascholar.google.com%2F&start=0,28.0,"https://scholar.google.com/scholar?cluster=16394736679362502443&hl=en&num=20&as_sdt=0,11",16394736679362502443,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=16394736679362502443&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:Kx94lyXOheMJ:scholar.google.com/+aixi&hl=en&num=20&as_sdt=0,11",,
1,A gentle introduction to the universal algorithmic agent AIXI,Hg-qF1NmLsIJ,https://www.researchgate.net/profile/Marcus-Hutter/publication/228851452_A_gentle_introduction_to_the_universal_algorithmic_agent_AIXI/links/0fcfd513fb2bb4148d000000/A-gentle-introduction-to-the-universal-algorithmic-agent-AIXI.pdf,… Chapter 5: We show how a number of AI problem classes fit into the general AIXI model. … the problems are solved by AIXI. Chapter 6: The major drawback of AIXI is that it is incomputable…,"M Hutter - Artificial General Intelligence, 2003 - researchgate.net",M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,,,,,,,,,,,,,,,,,researchgate.net,PDF,https://www.researchgate.net/profile/Marcus-Hutter/publication/228851452_A_gentle_introduction_to_the_universal_algorithmic_agent_AIXI/links/0fcfd513fb2bb4148d000000/A-gentle-introduction-to-the-universal-algorithmic-agent-AIXI.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Hg-qF1NmLsIJ,18.0,"https://scholar.google.com/scholar?cites=13992233599352049438&as_sdt=80005&sciodt=0,11&hl=en&num=20",13992233599352049438,https://serpapi.com/search.json?as_sdt=80005&cites=13992233599352049438&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:Hg-qF1NmLsIJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AHg-qF1NmLsIJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=13992233599352049438&hl=en&num=20&as_sdt=0,11",13992233599352049438,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=13992233599352049438&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:Hg-qF1NmLsIJ:scholar.google.com/+aixi&hl=en&num=20&as_sdt=0,11",Pdf,
2,Reinforcement learning via AIXI approximation,E43KFfGjZ64J,https://ojs.aaai.org/index.php/AAAI/article/view/7667,"This paper introduces a principled approach for the design of a scalable general reinforcement learning agent. This approach is based on a direct approximation of AIXI, a Bayesian …","J Veness, KS Ng, M Hutter, D Silver - Proceedings of the AAAI …, 2010 - ojs.aaai.org",J Veness,https://scholar.google.com/citations?user=_iYrAxEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_iYrAxEAAAAJ&engine=google_scholar_author&hl=en,_iYrAxEAAAAJ,KS Ng,https://scholar.google.com/citations?user=4bL3ThUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=4bL3ThUAAAAJ&engine=google_scholar_author&hl=en,4bL3ThUAAAAJ,M Hutter,https://scholar.google.com/citations?user=7hmCntEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=7hmCntEAAAAJ&engine=google_scholar_author&hl=en,7hmCntEAAAAJ,D Silver,https://scholar.google.com/citations?user=-8DNE4UAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=-8DNE4UAAAAJ&engine=google_scholar_author&hl=en,-8DNE4UAAAAJ,,,,,aaai.org,PDF,https://ojs.aaai.org/index.php/AAAI/article/view/7667/7528,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=E43KFfGjZ64J,32.0,"https://scholar.google.com/scholar?cites=12567193541048700179&as_sdt=80005&sciodt=0,11&hl=en&num=20",12567193541048700179,https://serpapi.com/search.json?as_sdt=80005&cites=12567193541048700179&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:E43KFfGjZ64J:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AE43KFfGjZ64J%3Ascholar.google.com%2F&start=0,22.0,"https://scholar.google.com/scholar?cluster=12567193541048700179&hl=en&num=20&as_sdt=0,11",12567193541048700179,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=12567193541048700179&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:E43KFfGjZ64J:scholar.google.com/+aixi&hl=en&num=20&as_sdt=0,11",,
3,Slowly varying discrete system xi+ 1= Aixi,1q6uAEUpa54J,https://www.infona.pl/resource/bwmeta1.element.ieee-art-000004234733,"Slowly varying discrete system xi+1=Aixi … Slowly varying discrete system xi+1=Aixi … If all eigenvalues of all matrices Ai (i=0, 1, 2, ...) lie in a disc of radius <1 and if the matrices Ai …","CA Desoer - Electronics letters, 1970 - infona.pl",,,,,,,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=1q6uAEUpa54J,163.0,"https://scholar.google.com/scholar?cites=11415263056841584342&as_sdt=80005&sciodt=0,11&hl=en&num=20",11415263056841584342,https://serpapi.com/search.json?as_sdt=80005&cites=11415263056841584342&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:1q6uAEUpa54J:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3A1q6uAEUpa54J%3Ascholar.google.com%2F&start=0,4.0,"https://scholar.google.com/scholar?cluster=11415263056841584342&hl=en&num=20&as_sdt=0,11",11415263056841584342,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=11415263056841584342&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:1q6uAEUpa54J:scholar.google.com/+aixi&hl=en&num=20&as_sdt=0,11",,
4,Tribological properties and hydrolysis stability study of benzothiazole borate derivative,X5ddaUd6eDMJ,https://onlinelibrary.wiley.com/doi/abs/10.1002/ls.1230,A novel borate ester derivative containing mercaptobenzothiazol and ethanolamine group (BMB) was synthesised and characterised. Its tribological properties in RSO were evaluated …,"…, X Liping, Q Liang, H Sheng, C Aixi… - Lubrication …, 2014 - Wiley Online Library",,,,,,,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=X5ddaUd6eDMJ,28.0,"https://scholar.google.com/scholar?cites=3708848740268611423&as_sdt=80005&sciodt=0,11&hl=en&num=20",3708848740268611423,https://serpapi.com/search.json?as_sdt=80005&cites=3708848740268611423&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:X5ddaUd6eDMJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AX5ddaUd6eDMJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=3708848740268611423&hl=en&num=20&as_sdt=0,11",3708848740268611423,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=3708848740268611423&engine=google_scholar&hl=en&num=20,,,
5,Inhibition of Hypoxia-inducible Factor-1 Alpha Radiosensitized MG-63 Human Osteosarcoma Cells in Vitro,sYgIf4UeOrUJ,https://journals.sagepub.com/doi/abs/10.5301/tj.5000243,Aims and background Hypoxia is a fundamental microenvironmental component of osteosarcoma which induces activation of the hypoxia-inducible factor-1 (HIF-1) pathway. …,"Z Jin, Y Aixi, Q Baiwen, L Zonghuan… - Tumori …, 2015 - journals.sagepub.com",,,,,,,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=sYgIf4UeOrUJ,21.0,"https://scholar.google.com/scholar?cites=13058783628224923825&as_sdt=80005&sciodt=0,11&hl=en&num=20",13058783628224923825,https://serpapi.com/search.json?as_sdt=80005&cites=13058783628224923825&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:sYgIf4UeOrUJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AsYgIf4UeOrUJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=13058783628224923825&hl=en&num=20&as_sdt=0,11",13058783628224923825,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=13058783628224923825&engine=google_scholar&hl=en&num=20,,,
6,Synthesis of a basic imidazolide ionic liquid and its application in catalyzing Knoevenagel condensation,u5e6msP1UEAJ,https://www.sciencedirect.com/science/article/pii/S1872206708600789,A novel basic ionic liquid paired by 1-butyl-3-methylimidazolium cation and imidazolide anion ([bmim]Im) was synthesized and its basicity was investigated. The basicity of [bmim]Im …,"…, S Hongbing, LÜ Yangxiao, W Furong, HU Aixi - Chinese Journal of …, 2008 - Elsevier",,,,,,,,,,,,,,,,,,,,,academia.edu,PDF,https://www.academia.edu/download/50149200/s1872-2067_2808_2960078-920161106-22105-lp64b9.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=u5e6msP1UEAJ,30.0,"https://scholar.google.com/scholar?cites=4634474237027588027&as_sdt=80005&sciodt=0,11&hl=en&num=20",4634474237027588027,https://serpapi.com/search.json?as_sdt=80005&cites=4634474237027588027&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:u5e6msP1UEAJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3Au5e6msP1UEAJ%3Ascholar.google.com%2F&start=0,4.0,"https://scholar.google.com/scholar?cluster=4634474237027588027&hl=en&num=20&as_sdt=0,11",4634474237027588027,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=4634474237027588027&engine=google_scholar&hl=en&num=20,,,
7,Tribological and antioxidation synergistic effect study of sulfonate-modified nano calcium carbonate,aSUwnGjJwpkJ,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062050,"<p>A middle base number sulphonate-modified nano calcium carbonate (SMC) with an average size of 35 nm was synthesized, and its tribological and antioxidation synergistic …","H Zhongyi, X Liping, H Sheng, C Aixi, Q Jianwei… - PLoS …, 2013 - journals.plos.org",,,,,,,,,,,,,,,,,,,,,plos.org,PDF,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0062050&type=printable,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=aSUwnGjJwpkJ,17.0,"https://scholar.google.com/scholar?cites=11079639484419024233&as_sdt=80005&sciodt=0,11&hl=en&num=20",11079639484419024233,https://serpapi.com/search.json?as_sdt=80005&cites=11079639484419024233&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:aSUwnGjJwpkJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AaSUwnGjJwpkJ%3Ascholar.google.com%2F&start=0,14.0,"https://scholar.google.com/scholar?cluster=11079639484419024233&hl=en&num=20&as_sdt=0,11",11079639484419024233,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=11079639484419024233&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:aSUwnGjJwpkJ:scholar.google.com/+aixi&hl=en&num=20&as_sdt=0,11",,
8,The mood stabilizer valproic acid induces proliferation and myelination of rat Schwann cells,mgfwxm64_UUJ,https://www.sciencedirect.com/science/article/pii/S0168010211001039,"Schwann cells (SCs) within peripheral nerve respond robustly after exposure to neurotrophic factors. Recent results have revealed that valproic acid (VPA), at a clinically relevant …","W Fei, Y Aixi, X Danmou, K Wusheng, P Zhengren… - Neuroscience …, 2011 - Elsevier",,,,,,,,,,,,,,,,,,,,,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=mgfwxm64_UUJ,24.0,"https://scholar.google.com/scholar?cites=5043389943648356250&as_sdt=80005&sciodt=0,11&hl=en&num=20",5043389943648356250,https://serpapi.com/search.json?as_sdt=80005&cites=5043389943648356250&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:mgfwxm64_UUJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3Amgfwxm64_UUJ%3Ascholar.google.com%2F&start=0,7.0,"https://scholar.google.com/scholar?cluster=5043389943648356250&hl=en&num=20&as_sdt=0,11",5043389943648356250,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=5043389943648356250&engine=google_scholar&hl=en&num=20,,,
9,The separation of catechol from carbofuran phenol by extractive distillation,65VKbmkxQXEJ,https://www.sciencedirect.com/science/article/pii/S1004954109600306,"In this study, extractive distillation has been applied to separate catechol (CAT) from carbofuran phenol(CFP) with high purity and yield. The relative volatility of CFP to CAT was …","J Zhang, HU Aixi, W Yu, X Xuhui, GUO Jiabin… - Chinese Journal of …, 2009 - Elsevier",,,,,,,,,,,,,,,,,,,,,cip.com.cn,PDF,https://cjche.cip.com.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1687,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=65VKbmkxQXEJ,18.0,"https://scholar.google.com/scholar?cites=8160858328663758315&as_sdt=80005&sciodt=0,11&hl=en&num=20",8160858328663758315,https://serpapi.com/search.json?as_sdt=80005&cites=8160858328663758315&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:65VKbmkxQXEJ:scholar.google.com/&scioq=aixi&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3A65VKbmkxQXEJ%3Ascholar.google.com%2F&start=0,9.0,"https://scholar.google.com/scholar?cluster=8160858328663758315&hl=en&num=20&as_sdt=0,11",8160858328663758315,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=8160858328663758315&engine=google_scholar&hl=en&num=20,,,
